Cabinet,Dept,Program,Expense Category,FY21 Actual Expense,FY22 Actual Expense,FY23 Appropriation,FY24 Adopted
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Worker Empowerment Administration,Contractual Services,#Missing,#Missing,#Missing,290000
Worker Empowerment Cabinet,Labor Compliance and Worker Protection,Worker Empowerment Administration,Other Expenses,#Missing,#Missing,#Missing,1151660
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Personnel Services,6254010.52,7988496.84,10623481.22,7507291.484
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Contractual Services,286539.4,2557953.23,6399453,9837758
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Supplies & Materials,35445.13,58996.77,68500,68500
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Current Charges & Obligations,8905.08,44735.04,56496,56496
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Equipment,12221.69,#Missing,4500,4500
Worker Empowerment Cabinet,Youth Employment and Opportunity,Youth Employment and Opportunity Admin,Other Expenses,562500,562500,562500,562500
Education Cabinet,Boston Public Schools,Alternative,Personnel Services,1653711.73,1719010.49,2206003,2583371
Education Cabinet,Boston Public Schools,Alternative,Contractual Services,16855,8948.33,26278,26278
Education Cabinet,Boston Public Schools,Alternative,Supplies & Materials,11073.15,8157.96,#Missing,#Missing
Education Cabinet,Boston Public Schools,Alternative,Equipment,5092,2096,#Missing,#Missing
Education Cabinet,Boston Public Schools,Early Learning Center,Personnel Services,13353662.09,14189560.54,17029773,18019808
Education Cabinet,Boston Public Schools,Early Learning Center,Contractual Services,352260,224894.72,254529,387574
Education Cabinet,Boston Public Schools,Early Learning Center,Supplies & Materials,105789.82,169759.78,149370,147541
Education Cabinet,Boston Public Schools,Early Learning Center,Equipment,6450.4,4547,#Missing,31993
Education Cabinet,Boston Public Schools,Elementary,Personnel Services,140874624,146358168.9,185431357,193547579
Education Cabinet,Boston Public Schools,Elementary,Contractual Services,1710794.9,1700743.79,966076,806682
Education Cabinet,Boston Public Schools,Elementary,Supplies & Materials,978701.64,1274705.51,700611,858308
Education Cabinet,Boston Public Schools,Elementary,Current Charges & Obligations,#Missing,#Missing,#Missing,11241
Education Cabinet,Boston Public Schools,Elementary,Equipment,264464.88,279671.9,21847,6000
Education Cabinet,Boston Public Schools,Exam,Personnel Services,36724356.02,37892696.11,46694219,50150040
Education Cabinet,Boston Public Schools,Exam,Contractual Services,180422.86,16988.57,35507,300
Education Cabinet,Boston Public Schools,Exam,Supplies & Materials,387868.12,235414.23,281670,188443
Education Cabinet,Boston Public Schools,Exam,Current Charges & Obligations,#Missing,12450,14000,#Missing
Education Cabinet,Boston Public Schools,Exam,Equipment,86436,7997.95,#Missing,#Missing
Education Cabinet,Boston Public Schools,High,Personnel Services,104844459.3,111918421.7,152525968,167412954
Education Cabinet,Boston Public Schools,High,Contractual Services,1403087.39,1242003.32,1411776,1389537
Education Cabinet,Boston Public Schools,High,Supplies & Materials,1083658.58,808055.49,870536,1602591
Education Cabinet,Boston Public Schools,High,Current Charges & Obligations,#Missing,4999.55,6000,#Missing
Education Cabinet,Boston Public Schools,High,Equipment,184128.77,317313.67,39137,172904
Education Cabinet,Boston Public Schools,K-12,Personnel Services,10422568.24,10698065.57,14297110,14788294
Education Cabinet,Boston Public Schools,K-12,Contractual Services,279461,249138.73,#Missing,2700
Education Cabinet,Boston Public Schools,K-12,Supplies & Materials,129349.63,39335.84,2214,1611
Education Cabinet,Boston Public Schools,K-12,Equipment,15218.92,1048,#Missing,#Missing
Education Cabinet,Boston Public Schools,K-8,Personnel Services,181167346.5,184376796.8,221964827,229918721
Education Cabinet,Boston Public Schools,K-8,Contractual Services,1376224.35,1162542.94,670182,1027554
Education Cabinet,Boston Public Schools,K-8,Supplies & Materials,1753511.47,1504622.48,1144056,789608
Education Cabinet,Boston Public Schools,K-8,Current Charges & Obligations,4405,#Missing,#Missing,#Missing
Education Cabinet,Boston Public Schools,K-8,Equipment,345202.8,260610.09,43624,6200
Education Cabinet,Boston Public Schools,Middle,Personnel Services,24108847.92,16534744.54,11695938,11231381
Education Cabinet,Boston Public Schools,Middle,Contractual Services,295937.81,79314,40169,49129
Education Cabinet,Boston Public Schools,Middle,Supplies & Materials,182890.27,65010.87,20995,21645
Education Cabinet,Boston Public Schools,Middle,Equipment,56542.7,2971.8,#Missing,5600
Education Cabinet,Boston Public Schools,Middle/High,Personnel Services,27923723.52,30143915.17,40710234,43516760
Education Cabinet,Boston Public Schools,Middle/High,Contractual Services,393633.77,1611360.68,166658,210473
Education Cabinet,Boston Public Schools,Middle/High,Supplies & Materials,177413.03,117718.54,48952,74604
Education Cabinet,Boston Public Schools,Middle/High,Equipment,280641.59,335163.89,105490,58462
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Personnel Services,18578546.96,18188364.97,22558337,23024559
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Contractual Services,612501.49,557336.26,641334,788178
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Supplies & Materials,147877.84,189521.81,222945,330481
Education Cabinet,Boston Public Schools,"Special Ed, K-12",Equipment,131863.56,65397.65,54916,125062
Education Cabinet,Boston Public Schools,Superintendent,Personnel Services,2073108.64,2270394.73,2598588,2772039
Education Cabinet,Boston Public Schools,Superintendent,Contractual Services,182285.2,1138326.31,372935,372051
Education Cabinet,Boston Public Schools,Superintendent,Supplies & Materials,15326.81,17868.33,24433,24599
Education Cabinet,Boston Public Schools,Superintendent,Equipment,12809.98,6771.3,5732,6561
Education Cabinet,Boston Public Schools,Superintendent,Other Expenses,#Missing,#Missing,468079,468079
Education Cabinet,Boston Public Schools,Student Support Services (C),Personnel Services,53163663.24,51067334.63,61816040,68902923
Education Cabinet,Boston Public Schools,Student Support Services (C),Contractual Services,8876796.84,6968913.29,7386271,8398047
Education Cabinet,Boston Public Schools,Student Support Services (C),Supplies & Materials,455196.07,334636.41,442987,561173
Education Cabinet,Boston Public Schools,Student Support Services (C),Current Charges & Obligations,2379,4800,7982,11566
Education Cabinet,Boston Public Schools,Student Support Services (C),Equipment,206037.98,119278.24,124672,361773
Education Cabinet,Boston Public Schools,Strategy,Personnel Services,37520893.42,36475854.31,32903633,32331978
Education Cabinet,Boston Public Schools,Strategy,Contractual Services,3378486.64,9183476.52,13144840,11125901
Education Cabinet,Boston Public Schools,Strategy,Supplies & Materials,86906.44,131410.07,206005,272693
Education Cabinet,Boston Public Schools,Strategy,Current Charges & Obligations,#Missing,42361.32,21196,21229
Education Cabinet,Boston Public Schools,Strategy,Equipment,112708.24,100318.47,72852,81450
Education Cabinet,Boston Public Schools,Strategy,Other Expenses,826663.63,646711.9,173663,173663
Education Cabinet,Boston Public Schools,School Committee,Personnel Services,185687.09,204516.58,249922,271445
Education Cabinet,Boston Public Schools,School Committee,Contractual Services,41418.01,208591.35,65863,137152
Education Cabinet,Boston Public Schools,School Committee,Supplies & Materials,4140.48,3912.71,6179,4179
Education Cabinet,Boston Public Schools,School Committee,Equipment,1120,1048,1151,1151
Education Cabinet,Boston Public Schools,BPS Finance,Personnel Services,272543203,271720945.8,201566192,168901505
Education Cabinet,Boston Public Schools,BPS Finance,Contractual Services,51573967.42,47060954.79,28479603,24953142
Education Cabinet,Boston Public Schools,BPS Finance,Supplies & Materials,1586148.31,1892864.23,1998407,1946080
Education Cabinet,Boston Public Schools,BPS Finance,Current Charges & Obligations,1334672.75,1655603.91,7755140,19445954
Education Cabinet,Boston Public Schools,BPS Finance,Equipment,106493.56,145651.91,499349,517512
Education Cabinet,Boston Public Schools,Chief of Schools,Personnel Services,2630515.2,2683542.24,2553989,3381115
Education Cabinet,Boston Public Schools,Chief of Schools,Contractual Services,14000,21974,10536,26657
Education Cabinet,Boston Public Schools,Chief of Schools,Supplies & Materials,5754.87,7681.3,8167,8167
Education Cabinet,Boston Public Schools,Chief of Schools,Current Charges & Obligations,#Missing,#Missing,149706,#Missing
Education Cabinet,Boston Public Schools,Chief of Schools,Equipment,#Missing,2233,3710,3710
Education Cabinet,Boston Public Schools,ASSET,Personnel Services,10731100.52,11227025.01,15611999,18304310
Education Cabinet,Boston Public Schools,ASSET,Contractual Services,7983280.96,9718732.33,10608277,14891372
Education Cabinet,Boston Public Schools,ASSET,Supplies & Materials,3590553.93,1896358.23,2656728,2452650
Education Cabinet,Boston Public Schools,ASSET,Current Charges & Obligations,36385.37,1240,35230,35230
Education Cabinet,Boston Public Schools,ASSET,Equipment,112817.98,80646,132150,143733
Education Cabinet,Boston Public Schools,BPS Operations,Personnel Services,58441649.48,58844436.9,66542345,74203801
Education Cabinet,Boston Public Schools,BPS Operations,Contractual Services,152201073.1,174443907.6,172449971,201435911
Education Cabinet,Boston Public Schools,BPS Operations,Supplies & Materials,6023207.07,1655376.66,2019571,3874035
Education Cabinet,Boston Public Schools,BPS Operations,Current Charges & Obligations,4525239.89,4480086.52,6309228,6962740
Education Cabinet,Boston Public Schools,BPS Operations,Equipment,6962847.64,9866379.78,12672706,12678814
Education Cabinet,Boston Public Schools,Turnaround and Transformation,Personnel Services,#Missing,225279.07,487703,420170
Education Cabinet,Boston Public Schools,Turnaround and Transformation,Contractual Services,#Missing,17702.31,584556,458226
Education Cabinet,Boston Public Schools,Capital Planning Unit,Personnel Services,305102.63,332782.33,748272,815145
Education Cabinet,Boston Public Schools,Capital Planning Unit,Contractual Services,#Missing,3036535.57,51000,51000
Education Cabinet,Boston Public Schools,Capital Planning Unit,Supplies & Materials,#Missing,72.55,#Missing,#Missing
Education Cabinet,Boston Public Schools,Capital Planning Unit,Current Charges & Obligations,#Missing,182058.72,182112,204649
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Personnel Services,2436307.1,2784883.32,2534392.048,2405681.748
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Contractual Services,680823.34,1945504.64,757797,1135687.2
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Supplies & Materials,15663.29,34094.81,10000,16300
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Current Charges & Obligations,4886.83,4668.15,4400,30621
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Equipment,#Missing,#Missing,#Missing,0
"Environment, Energy & Open Space Cabinet",Environment Department,Environment,Other Expenses,#Missing,#Missing,500000,#Missing
"Environment, Energy & Open Space Cabinet",Environment Department,"Office of Environment, Energy & Open Space",Personnel Services,#Missing,#Missing,#Missing,645566.8885
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Personnel Services,2513068.89,2675185.25,2448020.887,2704951.953
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Contractual Services,393445.66,475569.12,539737,436130
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Supplies & Materials,32234.17,35696.38,39050,29050
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Current Charges & Obligations,438215.29,519428.11,441088,435270.93
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks & Recreation Administration,Equipment,56397.65,52477.81,54036.25,81204.41
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Personnel Services,8544588.42,9524414.58,9176544.043,9019681.5
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Contractual Services,3957266.85,4367356.72,4142951.846,5010954.96
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Supplies & Materials,722834.52,943348.17,855622.7188,935633.33
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Current Charges & Obligations,60175.84,54695.29,68765,57597
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Equipment,845315.73,950423.29,1272936.735,1597982.004
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Operations,Other Expenses,1918619.65,2073559.72,966268,1401274
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Personnel Services,756500.01,881887.16,934056.0348,1143095.999
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Contractual Services,27665.51,124264.98,286039,331097.81
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Supplies & Materials,50915.89,209878.86,57250,57250
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Current Charges & Obligations,118979.05,130425.08,100484,100484
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Citywide Recreation,Equipment,7271.88,3635.94,#Missing,#Missing
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Personnel Services,1319216.67,1308965.19,1379186.566,1887573.977
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Contractual Services,2608964.55,6105419.15,706754.2212,943043.9598
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Supplies & Materials,74215.1,750,750,750
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Parks Design & Construction,Current Charges & Obligations,#Missing,#Missing,83682,150907
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Personnel Services,1029663.27,1212413.32,1372524.316,1395980.428
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Contractual Services,37884,137763.31,180445,180445
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Supplies & Materials,16337.99,91253.93,91939.8,93220
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Current Charges & Obligations,201.76,657.48,10470,9306.59
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Animal Care & Control,Equipment,21753.32,10876.66,11493.9,70355.7
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Personnel Services,#Missing,#Missing,1405807.921,988838.7144
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Contractual Services,#Missing,#Missing,289449,289449
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Equipment,#Missing,#Missing,#Missing,198551.9232
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Urban Forestry,Other Expenses,#Missing,#Missing,1675000,1635000
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Personnel Services,1953496.59,1817343.46,1993532.426,1970592.359
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Contractual Services,307090.32,336724.13,404792.8467,475139.8917
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Supplies & Materials,64739.51,72162.09,97417.7035,104814.72
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Current Charges & Obligations,24254.33,39458.8,21189,25071.17
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Equipment,168648.28,128778.74,125485.96,211234.925
"Environment, Energy & Open Space Cabinet",Parks & Recreation Department,Cemetery,Other Expenses,36925,81551,20000,142075
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Personnel Services,#Missing,#Missing,1094814.8,1310426.022
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Contractual Services,#Missing,#Missing,182517,100416
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Supplies & Materials,#Missing,#Missing,19000,28800
"Environment, Energy & Open Space Cabinet",Office of Historic Preservation,Historic Preservation,Current Charges & Obligations,#Missing,#Missing,#Missing,6038
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Personnel Services,#Missing,#Missing,443210.2066,518635.9915
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Contractual Services,#Missing,#Missing,913000,833562.77
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Supplies & Materials,#Missing,#Missing,2000,16500
"Environment, Energy & Open Space Cabinet",Office of Food Justice,Food Justice,Current Charges & Obligations,#Missing,#Missing,150,2734
Finance Cabinet,Office of Finance,A&F,Personnel Services,785330.07,877574.82,937900.1953,881811.3838
Finance Cabinet,Office of Finance,A&F,Contractual Services,2879758.07,1506499.17,1706603.3,800410
Finance Cabinet,Office of Finance,A&F,Supplies & Materials,1476.03,508.73,1250,1250
Finance Cabinet,Office of Finance,A&F,Current Charges & Obligations,3651.29,2939.04,2800,2404
Finance Cabinet,Office of Finance,A&F,Equipment,17593,2652,0,#Missing
Finance Cabinet,Assessing Department,Assessing Operations,Personnel Services,2466167.75,2511237.11,2352816.333,2549897.663
Finance Cabinet,Assessing Department,Assessing Operations,Contractual Services,109626.81,74206.45,111600,121632.8
Finance Cabinet,Assessing Department,Assessing Operations,Supplies & Materials,125526.87,61212.42,56739.8128,66661.28
Finance Cabinet,Assessing Department,Assessing Operations,Current Charges & Obligations,2598.27,20292.54,5000,3018
Finance Cabinet,Assessing Department,Assessing Operations,Equipment,#Missing,#Missing,#Missing,0
Finance Cabinet,Assessing Department,Valuation,Personnel Services,3241718.37,3189053.03,3734415.68,3693905.197
Finance Cabinet,Assessing Department,Valuation,Contractual Services,183401.29,164960.47,416200,374532
Finance Cabinet,Assessing Department,Valuation,Supplies & Materials,7250,6750,9000,0
Finance Cabinet,Assessing Department,Valuation,Current Charges & Obligations,149590.1,156318.33,162300,207000
Finance Cabinet,Assessing Department,Valuation,Equipment,#Missing,118995,0,#Missing
Finance Cabinet,Assessing Department,Executive,Personnel Services,889101.54,821912.19,1233753.791,1222278.036
Finance Cabinet,Assessing Department,Executive,Contractual Services,165437.03,148572.08,195000,222297.8
Finance Cabinet,Assessing Department,Executive,Supplies & Materials,500,500,500,0
Finance Cabinet,Assessing Department,Executive,Current Charges & Obligations,6274.71,6551.28,6000,10000
Finance Cabinet,Auditing Department,Auditing Administration,Personnel Services,521782.35,556282.95,634782.7928,655808.3449
Finance Cabinet,Auditing Department,Auditing Administration,Contractual Services,106706.75,94599.57,123402,76392.2
Finance Cabinet,Auditing Department,Auditing Administration,Supplies & Materials,956.8,6735.64,2707,2707
Finance Cabinet,Auditing Department,Auditing Administration,Current Charges & Obligations,2662.76,2720.26,1961,961
Finance Cabinet,Auditing Department,Accounting,Personnel Services,687080.55,509180.42,768452.2106,842823.3909
Finance Cabinet,Auditing Department,Accounting,Contractual Services,258364.67,208745.71,7885,81769
Finance Cabinet,Auditing Department,Accounting,Supplies & Materials,155.17,841.14,1757,1757
Finance Cabinet,Auditing Department,Accounting,Current Charges & Obligations,19987,7205,36972.5,41973
Finance Cabinet,Auditing Department,Central Payroll,Personnel Services,504497.26,613985.53,647237.3586,788021.4601
Finance Cabinet,Auditing Department,Central Payroll,Contractual Services,589.29,1291.6,3795,4099
Finance Cabinet,Auditing Department,Central Payroll,Supplies & Materials,1133.45,564.98,1400,1400
Finance Cabinet,Auditing Department,Central Payroll,Current Charges & Obligations,1507,150,516,516
Finance Cabinet,Auditing Department,Central Payroll,Equipment,2218.24,#Missing,#Missing,#Missing
Finance Cabinet,Auditing Department,Grants Monitoring,Personnel Services,352116.23,340109.47,202307.7571,343550.5915
Finance Cabinet,Auditing Department,Grants Monitoring,Contractual Services,1757.79,1674.7,3085,3991
Finance Cabinet,Auditing Department,Grants Monitoring,Supplies & Materials,15.46,30.08,957,957
Finance Cabinet,Auditing Department,Grants Monitoring,Current Charges & Obligations,1370,1050,455,455
Finance Cabinet,Auditing Department,Accounts Payable,Personnel Services,655808.3,693097.55,824899.6553,834094.4301
Finance Cabinet,Auditing Department,Accounts Payable,Contractual Services,6497.43,2986.05,7815,10914.2
Finance Cabinet,Auditing Department,Accounts Payable,Supplies & Materials,1781.54,1257.33,4707,4707
Finance Cabinet,Auditing Department,Accounts Payable,Current Charges & Obligations,3095,2654.79,388,199
Finance Cabinet,Auditing Department,Accounts Payable,Equipment,2218.24,#Missing,#Missing,#Missing
Finance Cabinet,Budget Management,Budget Administration,Personnel Services,868922.04,802625.98,1007458.621,856591.0537
Finance Cabinet,Budget Management,Budget Administration,Contractual Services,373366.25,589032.24,162550,189172
Finance Cabinet,Budget Management,Budget Administration,Supplies & Materials,916.88,3642.22,4850,5850
Finance Cabinet,Budget Management,Budget Administration,Current Charges & Obligations,56183.26,76745.22,63785,76461
Finance Cabinet,Budget Management,Budget Administration,Equipment,6942.35,22633.13,#Missing,#Missing
Finance Cabinet,Budget Management,Budget & Management,Personnel Services,857130.26,776336.92,793437.8258,1073420.604
Finance Cabinet,Budget Management,Budget & Management,Contractual Services,567.88,1530.33,1800,3510
Finance Cabinet,Budget Management,Budget & Management,Supplies & Materials,#Missing,#Missing,500,#Missing
Finance Cabinet,Budget Management,Revenue Monitoring,Personnel Services,105797,87835.44,97570.65504,97691.10001
Finance Cabinet,Budget Management,Revenue Monitoring,Contractual Services,#Missing,223.21,560300,480000
Finance Cabinet,Budget Management,Improving Management Project,Contractual Services,#Missing,#Missing,0,#Missing
Finance Cabinet,Budget Management,Capital Budgeting,Personnel Services,375067.67,351975.13,423322.8035,447234.9565
Finance Cabinet,Budget Management,Capital Budgeting,Contractual Services,253.58,578.56,600,2808
Finance Cabinet,Budget Management,Capital Budgeting,Supplies & Materials,#Missing,#Missing,750,500
Finance Cabinet,Budget Management,Risk Management,Personnel Services,130004.78,59311,103619.0983,126546.424
Finance Cabinet,Budget Management,Risk Management,Contractual Services,#Missing,#Missing,68270,67970
Finance Cabinet,Budget Management,Risk Management,Current Charges & Obligations,58250,58250,70885,70885
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Personnel Services,#Missing,#Missing,240000,239999.7312
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Contractual Services,#Missing,#Missing,5000,5000
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Equipment,#Missing,#Missing,5000,5000
Finance Cabinet,Office of Participatory Budgeting,Participatory Budgeting Program,Other Expenses,#Missing,#Missing,1750000,1750000
Finance Cabinet,Execution of Courts,Execution of Courts,Other Expenses,5790677.54,34508737.33,5000000,5000000
Finance Cabinet,Pensions & Annuities - City,Pensions & Annuities - City,Personnel Services,3429223.23,3330307.039,3900000,4005000
Finance Cabinet,Procurement,Purchasing Administration,Personnel Services,870392.42,960096.97,988560.9287,1101010.343
Finance Cabinet,Procurement,Purchasing Administration,Contractual Services,16235.49,20749.56,16433,217497.41
Finance Cabinet,Procurement,Purchasing Administration,Supplies & Materials,2799.31,5418.33,7500,7500
Finance Cabinet,Procurement,Purchasing Administration,Current Charges & Obligations,11490.97,15333.81,4515,4495
Finance Cabinet,Procurement,Purchasing Administration,Equipment,12024.84,24070.14,24070.13,24070.13
Finance Cabinet,Procurement,Purchasing Administration,Other Expenses,91849.05,#Missing,#Missing,#Missing
Finance Cabinet,Procurement,Goods Procurement,Personnel Services,585651.05,614427.96,687672.5716,627432.5643
Finance Cabinet,Procurement,Goods Procurement,Contractual Services,1609.28,127301.53,7021,8097.41
Finance Cabinet,Procurement,Goods Procurement,Supplies & Materials,1921.03,5276.99,4975,4975
Finance Cabinet,Procurement,Goods Procurement,Current Charges & Obligations,290.02,2631.44,400,400
Finance Cabinet,Procurement,Goods Procurement,Other Expenses,46746,#Missing,#Missing,#Missing
Finance Cabinet,Procurement,Central Services,Personnel Services,325983.72,307075.51,333182.5302,295912.9372
Finance Cabinet,Procurement,Central Services,Contractual Services,41525.82,32912.86,26021,27097.41
Finance Cabinet,Procurement,Central Services,Supplies & Materials,2647.25,1009.98,2750,2750
Finance Cabinet,Procurement,Central Services,Current Charges & Obligations,25,#Missing,150,150
Finance Cabinet,Procurement,Central Services,Equipment,#Missing,17296,#Missing,#Missing
Finance Cabinet,Procurement,Central Services,Other Expenses,41806.63,104161.79,6000,6000
Finance Cabinet,Procurement,Technology & Training,Personnel Services,#Missing,#Missing,#Missing,462011.9514
Finance Cabinet,Procurement,Technology & Training,Contractual Services,#Missing,#Missing,#Missing,200000
Finance Cabinet,Procurement,Strategic Procurement,Personnel Services,#Missing,#Missing,#Missing,536601.9429
Finance Cabinet,Procurement,Strategic Procurement,Contractual Services,#Missing,#Missing,#Missing,200000
Finance Cabinet,Treasury Department,General Management,Personnel Services,505212.35,617779.91,632463.6799,640968.4731
Finance Cabinet,Treasury Department,General Management,Contractual Services,80450.26,77386.31,496250,602600
Finance Cabinet,Treasury Department,General Management,Supplies & Materials,5095.53,11876.9,18500,19000
Finance Cabinet,Treasury Department,General Management,Current Charges & Obligations,2454.3,2391.11,17000,21650
Finance Cabinet,Treasury Department,Special Collections,Personnel Services,578414.55,448289.96,530263.5857,532695.1507
Finance Cabinet,Treasury Department,Special Collections,Contractual Services,1623.2,1983.92,3962,4800
Finance Cabinet,Treasury Department,Special Collections,Supplies & Materials,2500,1750,2250,2000
Finance Cabinet,Treasury Department,Payment Services,Personnel Services,312385.99,392110.84,470397.3305,487253.8198
Finance Cabinet,Treasury Department,Payment Services,Contractual Services,409508.93,375421.97,1525,4200
Finance Cabinet,Treasury Department,Payment Services,Supplies & Materials,499549.05,511383.76,516500,531750
Finance Cabinet,Treasury Department,Payment Services,Equipment,5815.6,11733.51,20000,20000
Finance Cabinet,Treasury Department,Payment Services,Other Expenses,579792,501258,#Missing,#Missing
Finance Cabinet,Treasury Department,Accounting/Quality Control,Personnel Services,396024,352997.34,353440.6886,365819.0327
Finance Cabinet,Treasury Department,Accounting/Quality Control,Contractual Services,1017.86,1180.34,1213,2100
Finance Cabinet,Treasury Department,Accounting/Quality Control,Supplies & Materials,500,250,500,250
Finance Cabinet,Treasury Department,Treasury Administration,Personnel Services,510541.86,623739.92,519332.3409,699476.2867
Finance Cabinet,Treasury Department,Treasury Administration,Contractual Services,136716.83,144555.99,203108,249952.8
Finance Cabinet,Treasury Department,Treasury Administration,Supplies & Materials,14791.3,12414.69,15000,12414.69
Finance Cabinet,Treasury Department,Treasury Administration,Current Charges & Obligations,12204.3,6225.4,19000,10232.4
Finance Cabinet,Treasury Department,General Service/Payroll,Personnel Services,377614.73,355007.09,364381.6164,448579.1454
Finance Cabinet,Treasury Department,General Service/Payroll,Contractual Services,16730.6,15874.21,25400,17659.22
Finance Cabinet,Treasury Department,General Service/Payroll,Supplies & Materials,240052.03,246178.24,245500,246178.24
Finance Cabinet,Treasury Department,Treasury Accounting,Personnel Services,180806.89,124222.66,175331.303,216785.0486
Finance Cabinet,Treasury Department,Treasury Accounting,Contractual Services,266.52,351.78,900,2410
Finance Cabinet,Treasury Department,Treasury Accounting,Supplies & Materials,4500,4500,4750,4750
Finance Cabinet,Treasury Department,Accounts Receivable,Personnel Services,417902.35,287598.52,510171.7667,404198.7329
Finance Cabinet,Treasury Department,Accounts Receivable,Contractual Services,207.15,326.78,900,3360
Finance Cabinet,Treasury Department,Accounts Receivable,Supplies & Materials,17000,17000,17000,17000
Finance Cabinet,Treasury Department,Trust,Personnel Services,631.62,11696,4443.244349,31296.28117
Finance Cabinet,Treasury Department,Trust,Contractual Services,#Missing,#Missing,0,52110
People Operations Cabinet,Office of People Operations,People Administration,Personnel Services,#Missing,#Missing,689108,847417.2253
People Operations Cabinet,Office of People Operations,People Administration,Contractual Services,#Missing,#Missing,103000,146081
People Operations Cabinet,Office of People Operations,People Administration,Supplies & Materials,#Missing,#Missing,1000,1000
People Operations Cabinet,Office of People Operations,People Administration,Current Charges & Obligations,#Missing,#Missing,1000,#Missing
People Operations Cabinet,Office of People Operations,People Administration,Equipment,#Missing,#Missing,2000,10000
People Operations Cabinet,Health Insurance,Health Insurance,Current Charges & Obligations,210900841.5,205206595.7,217310394,222353329
People Operations Cabinet,Human Resources,Personnel,Personnel Services,2015785.34,2570913.75,2776064.705,3133921.673
